Class Index,Title,Description
2,Trackin #39; the Top 25,"the Georgia #39;s equipment truck arrived at Commonweatlth Stadium enabling the Bulldogs to dress for the game. David Greene, who passed for 259 yards, and Thomas Brown, who rushed for a career-high 130 yards."
1,Dexia formally abandon's merger plans with Italy's Sanpaolo (AFP),AFP - French-Belgian bank Dexia said  that it has decided to terminate its plans to form an alliance with Italian bank Sanpaolo IMI.
4,Survey plea to save stricken owls,The public is being asked to help with a major survey into Britain's owl population.
3,"CHINA PRESS: Shanghai Auto Plans \$6B IPO In HK, New York","BEIJING (Dow Jones)--Shanghai Automotive Industry Corp. (Group), one of China #39;s three major state-run automakers, plans to go public in both Hong Kong and New York in January after a \$6 billion initial public "
4,Briefly: Hitachi unleashes 100GB notebook drives,roundup Plus: Web services security outfits merge...Groups push on for TV on cell phones...Shopping.com holders cut IPO shares.
2,Pacers #39; O #39;Neal might head to injured list,The Indianapolis Star reported Friday that All-Star forward Jermaine O #39;Neal likely will be placed on the injured list due to a strained ligament in his left foot.
3,Stock Futures Drop After Merck News,"US stocks futures tumbled on Thursday after drug company Merck  amp; Co. (MRK.N: Quote, Profile, Research) announced it was recalling a key drug, indicating the market would open lower."
4,Macromedia Sells Web Conferencing By The Minute,com. Macromedia on Tuesday opened up its Breeze Live hosted Web conferencing service to smaller shops by adding pay-as-you-go pricing to the subscription deals it had earlier offered.
1,Two Men Questioned in Pakistan Bombing (AP),AP - Police said Monday they were questioning two men in connection with a suicide attack at a Shiite mosque in eastern Pakistan that killed three people plus the bomber  #151; the latest violence in what appears to be rising strife between Shiite and Sunni Muslims.
4,Hollywood Writer Sues Microsoft Over Yoga Game," LOS ANGELES (Reuters) - Academy Award-winning screenwriter  Roger Avary has sued Microsoft Corp. in California for  purportedly stealing his idea for a virtual yoga studio after  the software giant sought his advice for winning over women to  videogames, his attorney said on Tuesday."
1,US jets target Zarqawi,"BAGHDAD: US fighter jets struck suspected hideouts of Iraq #39;s most wanted man, Abu Musab al-Zarqawi, in rebel-held Fallujah yesterday as interim Prime Minister Iyad Allawi announced plans for a national arms-for-cash program."
1,Judge OKs Rights Suit Against Unocal (AP),"AP - A lawsuit against Unocal Corp. over alleged atrocities that occurred during a 1990s pipeline project in Myanmar can proceed before a jury, a California judge ruled Tuesday."
1,Chinese media demands investment in mine safety,"A woman breaks down after she was told the fate of her husband, one of the miners trapped in the Chenjiashan coal mine in Tongchuan city, north China #39;s Shaanxi province November 29."
2,Red Devils about to confront the Gunners,Don #39;t look for Alex Ferguson and Arsene Wenger to sit down for a drink after today #39;s critical showdown between Manchester United and Arsenal.
1,Kidnappings Dog Kabul 3 Years After Taliban Defeat,"Three UN workers remained hostages of a Taliban faction despite hopes they would be freed by the Muslim festival of Eid which began on Saturday, the third anniversary of the Taliban #39;s flight from the Afghan capital."
1,Yudhoyono makes the cut in Sulawesi,Some 300 people have shaved their heads in Indonesia #39;s Central Sulawesi province to celebrate the victory of former general Susilo Bambang Yudhoyono in this week #39;s presidential election.
1,Columbus' Tomb Opened on Anniversary (AP),"AP - Roman Catholic officials opened a tomb said to contain the remains of Christopher Columbus as part of an annual ceremony Tuesday, a day after the Dominican government denied a Spanish request to conduct DNA tests to determine which country has the navigator's true remains."
4,"U.S. Agencies, Contractors Lead Space Race","At four of the region's largest real estate brokerages, more than half the tenants looking for large chunks of space are government agencies or their contractors, and brokers said the increased competition for space among companies in the booming defense and security industries could mean higher rents."
1,China Ex-President May Be Set to Yield Last Powerful Post,"Jiang Zemin, China's military chief and senior leader, has told Communist Party officials that he plans to resign, two people with leadership connections say."
2,Crisp Sparks Indians,"Coco Crisp's hustling RBI bunt single in the eighth inning pushed the Indians past the Yankees, 4-3, on Wednesday night, ending Cleveland's nine-game losing streak."
4,"Square Enix, Gamemakers Count on Sony, Nintendo to Boost Sales","Square Enix, the world #39;s biggest maker of role-playing computer games, and rivals including Koei Co. are counting on the new consoles from Japan #39;s Sony Corp."
4,Webify Helps Insurance Carriers Stretch Legacy Apps (Ziff Davis),"Ziff Davis - The company's software, built on IBM's on-demand architecture, lets carriers extend the life of legacy applications while pushing out new functionality."
2,Williams contacts Dolphins but says he #39;s headed for India,Retired running back Ricky Williams says he contacted the Miami Dolphins this week at the request of his agent but has no plans to rejoin the team anytime soon.
4,NASA Says Fixing Space Shuttle Fleet Could Top \$2 Billion,"WASHINGTON (AP) -- NASA administrator Sean O'Keefe said Wednesday the cost of fixing all the problems with the space shuttle fleet could top \$2.2 billion - double the estimated price tag given to Congress a year ago.    O'Keefe, testifying before the Senate Commerce, Science and Transportation Committee, was pressed on whether that estimate again could rise..."
2,Jimenez Grabs First-Round Lead at European Masters," CRANS-SUR-SIERRE, Switzerland (Reuters) - Miguel Angel  Jimenez and Sergio Garcia warmed up for this month's Ryder Cup  with sparkling starts at the European Masters on Thursday."
1,Soaring Oil Prices Send Stocks Skidding,"NEW YORK - Soaring oil prices trumped positive earnings news Wednesday, sending stocks skidding as investors rushed to take profits on new fears that the market is in the midst of a commodities bubble.    Stronger than expected profits at chip bellwether Intel Corp..."
3,Boeing reaps \$49M from US error,"Boeing Co. made at least \$49 million in excess profit on a federal aviation security contract because the government failed to properly structure the deal, a federal audit released Monday found."
4,Cassini beams images of Saturn #39;s moon,"This movie taken by the Cassini spacecraft shows the surface and atmosphere of Saturn #39;s moon Titan over a range of infrared wavelengths, from ."
3,Lampert rolls with the risks,"It #39;s all about Eddie. Wall Street is betting Kmart chairman Eddie Lampert will be able to add a successful combination with Sears, the biggest retail merger in history, to his impressive resume."
3,"UPDATE 2-Credit Suisse to integrate units, float Winterthur","Credit Suisse (CSGN.VX: Quote, Profile, Research) will integrate its investment bank Credit Suisse First Boston with its private bank and aims to float its Winterthur "
2,Colts #39; respected coach needs to be heard on issue,"By now, most of us can agree that ABC #39;s  quot;Monday Night Football quot; opening was lasciviously over-the-top, a crass effort at cross-promotion and titillation."
4,IBM Adds New Power5  iSeries Server (Ziff Davis),Ziff Davis - The company introduces a new midrange server and expands management and support across the i5 server line.
4,Open-source process server set for release,More open-source software for businesses: The Apache Software Foundation is launching a project for a Java process automation server.
1,"Bambang: If we lack credibility or integrity, we are worthless",Bambang Harymurti showed no signs of being broken in spirit when a panel of judges at the Central Jakarta District Court found him guilty of libel and sentenced him to a year in prison on Thursday.
4,Brazil to Limit UN Access to Uranium Plant as Powell Visits,"Brazil will limit United Nations #39; access to a uranium enrichment plant as US Secretary of State Colin Powell visits the country to press for unimpeded inspections, the country #39;s ambassador in Washington said."
4,Kerry report: Economy 'threatened' by offshoring,Presidential candidate's position paper calls for expanding a federal program to help tech workers hurt by offshore outsourcing.
2,Lithuania Shoots Down U.S. in Men's Olympic Basketball, ATHENS (Reuters) - Sarunas Jasikevicius went on a shooting  spree in the last three minutes of play to lift Lithuania to a  94-90 victory over the United States in the men's Olympic  basketball tournament Saturday.
4,Nearly Half European Birds Species at Risk -Report (Reuters),"Reuters - Over 40 percent of all bird species\in Europe face an uncertain future and some are so threatened\that they may disappear soon due to intensive agriculture and\climate change, scientists said on Monday."
3,Brookstone Posts a Narrower Loss (Reuters),"Reuters - Brookstone Inc. (BKST.O), a retailer\specializing in gadgets and personal electronics, on Wednesday\posted a narrower quarterly loss on strong Father's Day sales\and raised its profit forecast for the full year."
2,"Even with a patchwork secondary, the Patriots just keep on winning","As both the weeks and the wins pile up for the Patriots, the more preposterous it becomes. Already it #39;s as farfetched and fanciful as anything that has happened in the NFL this season, Ben Roethlisberger #39;s magic carpet ride included."
3,Russia Advances Plans to Break Up Yukos,"Russia moved ahead Friday with plans to break up the country #39;s largest oil producer over unpaid back tax bills, announcing it would auction off a majority stake in the main production unit of oil giant OAO Yukos next month."
2,Yankees return the favor,"The Yankees figure there is no sense looking backward, either at a bad loss or the team behind them in the standings. That is the way they have approached the whole week and it was the way "
2,Padres Defeat Dodgers 9-4 (AP),"AP - Ramon Vazquez and Ramon Hernandez each hit a three-run homer for the San Diego Padres, and Adam Eaton beat Los Angeles for the fourth time this season in a 9-4 victory Tuesday night that cut the Dodgers' NL West lead to 1 1/2 games over San Francisco."
3,Martha Stewart Names Lyne Chief as Patrick Resigns (Update1),"Martha Stewart Living Omnimedia Inc., whose founder is serving a five-month prison sentence for obstructing justice, named Susan Lyne as president and chief executive officer, replacing Sharon Patrick."
1,"Blast, Mushroom Cloud Reported in N. Korea (AP)","AP - A large explosion occurred in the northern part of North Korea, sending a huge mushroom cloud into the air on an important anniversary of the communist regime, a South Korean news agency reported Sunday."
1,US and British forces sweep through Iraq #39;s  #39;death triangle #39;,"LATIFIYAH, Iraq (AFP) - American, British and Iraqi forces continued a major sweep through Iraq #39;s  quot;triangle of death quot; to try to smash rebel enclaves before landmark elections in January."
2,Clippers #39; Brand suspended one game,"New York, NY (Sports Network) - Los Angeles Clippers forward Elton Brand was suspended Tuesday for one game by the NBA for shoving Charlotte #39;s Emeka Okafor during the fourth quarter of Monday night #39;s game."
1,WORLD BRIEFS,"IN AFGHANISTAN. US troops and helicopter gunships killed 22 militants, including three Arab fighters, in the southern province of Zabul, Afghanistan, the military said yesterday."
4,News: Caller ID spoofing service for sale,"The founder of a US Caller ID falsification service is selling up, just days after setting up in business.\"
4,Latest Mozilla releases fix 10 security flaws,"At least three critical vulnerabilities are among those fixed by the most recent versions of Mozilla, Firefox and Thunderbird."
3,Severn Trent lifts dividend as US business suffers,"Severn Trent, the UK environmental services group, said it intended to raise its interim dividend by 2.5 per cent to 18.21p despite a 10 per cent fall in pre-tax profits to 126.2m (\$239m) for the six months to 30 September."
4,Astronomers Contemplate Icy Volcanoes in Far Places,"Hundreds of tiny worlds circling beyond Neptune have been thought of as frozen in time, almost unchanged since they formed at the birth of the solar system five billion years ago."
1,U.S. Pre-Ramadan Raids Net Insurgents,"BAGHDAD, Iraq - Stepping up raids before the Muslim holy month of Ramadan, U.S. forces traded fire with insurgents in the Sunni stronghold of Ramadi, officials said Thursday, while troops detained 10 people, including two suspected insurgent leaders, in a sweep of Baqouba..."
2,Clemens Accepts Astros' Arbitration Offer (AP),"AP - Roger Clemens accepted the Astros' offer of salary arbitration Saturday, meaning he will either pitch for Houston next season or retire."
4,Use PayPal at US iTunes Music Store,"The iTunes Music Store in the US will now accept PayPal for purchases of music downloads, audiobooks and gift certificates. Starting today, iTunes Music Store purchases can be funded through PayPal #146;s virtual wallet, allowing customers to pay in the way they prefer  #151; using a credit card, bank account or stored account balance. Dec 10"
4,"Sun Changes Course, Releases First NAS Box","SEPTEMBER 20, 2004 (COMPUTERWORLD) - Sun Microsystems Inc. tomorrow plans to announce several storage products, including its first network-attached storage (NAS) box and a midrange disk array that uses virtualization "
4,Mozilla fixes browser bugs,"Mozilla Foundation releases new versions of two browsers and an e-mail reader, addressing vulnerabilities that could allow attackers to run malicious code on a user's PC."
3,"Developing countries seek greater voice in IMF, World Bank leadership (AFP)",AFP - Developing countries chastized the IMF and the World Bank for what they said had been a failure to give them greater decision-making power in the two institutions and urged that the next World Bank president be chosen regardless of nationality.
4,"Video Game Makers Get a  #39;C #39; for Effort, Critics Say",Critics questions whether violent videogames like  quot;BloodRayne quot; should be played by children and teenagers. The videogame industry says games with mature themes have appropriate ratings.
3,Delta deal hinges on pilot concessions,A unit of American Express Co. agreed Monday to provide Delta Air Lines Inc. with up to \$600 million in financing - if the cash-strapped airline persuades its 
1,Top al-Qaida man dies of heart attack,"The alleged top al-Qaida operative in Lebanon, who was arrested 10 days ago after authorities uncovered a plot to bomb embassies of Italy and Ukraine, and kill diplomats, died of a heart attack Monday, hospital officials and the Interior Ministry said."
3,Wall Street stocks fall on Greenspan #39;s warning on trade deficit,Wall Street stocks traded sharply lower Friday after Federal Reserve Chairman Alan Greenspan gave a warning over the nation #39;s spiraling trade deficit.
3,Whirlpool Profit Falls as Costs Rise," ATLANTA (Reuters) - Appliance maker Whirlpool Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=WHR.N target=/stocks/quickinfo/fullquote""&gt;WHR.N&lt;/A&gt;  on Wednesday said quarterly profit was about flat as it was  pressured by higher raw material and oil costs."
1,Earthquake death toll hits 16,"A SERIES of powerful earthquakes in central Japan, including an initial tremor measuring 6.8 on the Richter scale, have left 20 people dead or missing and injured 1000 others, officials and news reports said."
2,"Marlins 5, Expos 2",Jeff Conine homered and Mike Lowell drove in two runs to lead the Florida Marlins over Montreal 5-2 on Tuesday night in what might prove to be the Expos #39; second-to-last game at Olympic Stadium.
4,Phishing lures first German victims,"Two clients of Germany #39;s Postbank have fallen for an email fraud that led them to reveal money transfer codes to a bogus Web site -- the first case of this scam in German, prosecutors say."
3,Limo wars,"So I am in New York reporting on two Boston limousine competitors -- one a national player, the other an ambitious upstart -- who are wrestling over turf in the biggest limo market in the world. My limo driver, Trevor Ingram, has found himself entangled in a nasty lawsuit along with his new employer, Commonwealth Worldwide."
1, #39;No Blood on Our Headscarf #39;,"France knew no parties and no religious controversy, only republicans and patriots. As in times of war, this otherwise highly divided nation, with its many social, ethnic and religious "
1,UAE wins first Olympic gold,Ahmed al-Maktoum becomes the first Olympic medallist from the UAE with gold in the men's double shooting trap.
2,Spotlight shines on quarterbacks,"They couldn't be more different. One is the prototype quarterback, seemingly built using the create-a-player function from a video game, standing tall in the pocket and firing laser beams across the field."
3,WTO Authorizes Sanctions Against US,"Sanctions could be aimed at a wide range of American exports, possibly including steel ball bearings, cod, shoes and apples. Most would be imposed by Japan and the EU, which have been the hardest "
4,Editorial:The right stuff of imagination,"In a scene from the film  quot;The Right Stuff, sunlight streams through the window of astronaut Leroy Gordon  quot;Gordo quot; Cooper #39;s Faith 7 spacecraft as it reaches orbit."
2,Ravens beaten at home,"Like their leader Ray Lewis, the Ravens were pushed around, punched and left bloodied. The Ravens #39; 27-24 loss to the previously winless Kansas City Chiefs on Monday night at "
4,CA updates Unicenter offerings,Computer Associates Monday announced the general availability of three Unicenter performance management products for mainframe data management.
3,Eli Lilly Launches Online Clinical Trial Registry,"Drugmaker Eli Lilly and Co. (LLY.N: Quote, Profile, Research) on Wednesday said it will make clinical trial information available online amid calls by lawmakers and physicians for more disclosure of negative trial results."
4,Nice Day for a Wireless Wedding (washingtonpost.com),"washingtonpost.com - The courtship was public, and now they're engaged. Even though we knew it was coming, journalists seem to have plenty to write about now that underdogs Sprint and Nextel have announced their  #36;35 billion nuptial plans, including a rumor that one of the wireless industry's big dogs would try to spoil the party."
4,Chips Coming to a Brain Near You,Researchers working with slices of rat brains come up with a microchip that mimics the part of the brain responsible for creating memories. They hope to create a prosthesis for the human brain within 15 years. By Lakshmi Sandhana.
4,Q1 Labs Enhances Security Monitoring System,"The security threats against business-technology systems continue to multiply. Not only do malicious worms and viruses such as Blaster and Bagle continue to wreak havoc, but security pros "
1,Romanian Election also the subject of corruption,"As the voting gets underway, in what is expected to be a tight race, there are already election fears of fraud. Many are worried that the PSD (Social Democrats) might attempt to manipulate the voting in some way."
3,The Dollar Weakens Broadly," NEW YORK (Reuters) - The dollar weakened broadly on  Thursday, reversing a short-lived rally on news that China had  raised interest rates as the market decided Beijing's move did  not radically change dollar-bearish market fundamentals."
3,A gumshoe #39;s in charge,"Still sounding like a prosecutor, though, Cherkasky is demanding accountability from execs at Marsh  amp; McLennan, the beleaguered firm he has led for less than a week."
4,Search Engine Marketing Research,"Search Engine Marketing Research\\Search engine marketing success comes from good research. By applying research to understand your competition and target audience, your optimization efforts will succeed. Remember when homework from school often required some research on your part to complete? It is much the same scenario for search engine marketing: ..."
1,Armed police start Singapore patrols,"Special operations forces, armed with machine guns, began patrolling Singapore #39;s residential neighbourhoods and busy shopping districts to thwart a potential terror attack in the city-state, a staunch US ally."
3,Europe Is Said to Be Close to Allowing Bid by Oracle,The European Union's competition commissioner could be ready to allow Oracle to proceed with its \$7.7 billion hostile takeover bid for PeopleSoft.
3,U.S. Stocks Gain as Oil Falls," NEW YORK (Reuters) - U.S. stocks closed higher on Monday  after a drop in oil prices eased worries about high energy  costs, although disappointing earnings from diversified  manufacturer 3M Co.&lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MMM.N target=/stocks/quickinfo/fullquote""&gt;MMM.N&lt;/A&gt; curbed gains on the blue-chip Dow."
2,"Pacers, O'Neal Edge Out Knicks 103-97 (AP)","AP - Once again, the ailing and short-handed Indiana Pacers built a big lead. This time, they were able to hold off New York's furious comeback. Jermaine O'Neal had 33 points and 12 rebounds, Ron Artest marked his 25th birthday with 22 points and Stephen Jackson added 19 as the Pacers fought off fatigue and beat the Knicks 103-97 Saturday night."
2,DC's Team Will Be the Nationals," Major League Baseball's Washington, D.C. franchise finally  got a name Monday, nearly two months after the team relocated  from Montreal. Team officials, including president Tony  Tavares, also unveiled a color scheme for the team, which is  red, white and blue."
1,Burundian rebels: we #39;re ready to defend ourselves in court in &lt;b&gt;...&lt;/b&gt;,"Leaders of a Burundian rebel group said Friday they were ready to defend themselves in an international court against war crimes charges after they took responsibility for the massacre of 163 refugees, their spokesman said."
1,Two killed in Baghdad mosque clash; Iraqi troops prepare assault &lt;b&gt;...&lt;/b&gt;,"BAGHDAD (AFP) - Iraqi national guardsmen raided a Sunni mosque in Baghdad after Friday prayers, sparking bloody clashes, an AFP correspondent reported, while in the northern city of Mosul US-backed Iraqi commandos were poised to storm rebel strongholds."
1,"On Tape, Abducted Reporter Says He's OK (AP)","AP - A U.S. journalist abducted by militants in Iraq and threatened with death said in a video aired Friday that his captors were treating him well, while an Italian journalist also was reported missing in the war-torn country."
4,Out with the old at EDS,"Electronic Data Systems' early-retirement plan aims to save hundreds of millions of dollars, but saying goodbye to veteran employees could be hard on the firm."
3,Australian Trade Deficit Widens as Imports Increase (Update4),"Australia #39;s trade deficit widened in September as imports of cars, food and appliances increased and record oil prices pushed up the nation #39;s energy bill."
3,Toymakers' Stocks Hit Lows on Downgrade," NEW YORK (Reuters) - Shares of top toy maker Mattel Inc.  &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MAT.N target=/stocks/quickinfo/fullquote""&gt;MAT.N&lt;/A&gt; and rival Hasbro Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=HAS.N target=/stocks/quickinfo/fullquote""&gt;HAS.N&lt;/A&gt; fell to their lowest  levels at least 14 months on Monday after a downgrade by Lehman  Brothers, which cited deteriorating industry conditions."
2,Report: Backman tabbed as new Diamondbacks manager,"Phoenix, AZ (Sports Network) - The Arizona Diamondbacks have called a news conference for today at 1 pm (et), when they are expected to introduce Wally Backman as their new manager."
